Rate,Week,PC,logdose,pred,res,a,b,c,d,SSE
0.028,21,0.5758176412,-3.575550769,0.5263367912,0.0494808501,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.028,21,0.5004955401,-3.575550769,0.5263367912,-0.025841251,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.028,21,0.5341922696,-3.575550769,0.5263367912,0.0078554784,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.084,21,0.6947472745,-2.47693848,0.7172764557,-0.022529181,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.084,21,0.7125867195,-2.47693848,0.7172764557,-0.004689736,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.084,21,0.6610505451,-2.47693848,0.7172764557,-0.056225911,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.084,21,0.6630327056,-2.47693848,0.7172764557,-0.05424375,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.25,21,0.8850346878,-1.386294361,0.848569754,0.0364649338,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.25,21,0.8850346878,-1.386294361,0.848569754,0.0364649338,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.25,21,0.89296333,-1.386294361,0.848569754,0.044393576,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.25,21,0.8889990089,-1.386294361,0.848569754,0.0404292549,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.76,21,0.8989098117,-0.274436846,0.8942502457,0.004659566,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.76,21,0.8909811695,-0.274436846,0.8942502457,-0.003269076,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.76,21,0.8969276511,-0.274436846,0.8942502457,0.0026774054,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
0.76,21,0.89296333,-0.274436846,0.8942502457,-0.001286916,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
2.27,21,0.8969276511,0.8197798315,0.9055334881,-0.008605837,0.9089529391,1.3523865215,0.0540108964,0.3689762511,0.0313851515
